,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000164742,353.798497568979,-2.54040005714596,0.255754540298755,2.52447442550435e-25,2.6620656631985e-23
ENSG00000138073,1697.49904128374,1.08374083466706,0.107111109716599,3.79227000673607e-25,3.95272906135635e-23
ENSG00000163697,2266.27531330114,1.05934709222003,0.105230021833145,4.48555830306676e-25,4.64848202993677e-23
ENSG00000120837,1841.38725402181,1.01767309317642,0.101144404840442,6.60402463403453e-25,6.76612342050629e-23
ENSG00000102554,149.552166590204,2.4361479850387,0.244664348744337,7.683824845348e-25,7.78397357366939e-23
ENSG00000172061,231.27386893187,-2.50552216255056,0.253983788481109,8.54196268394092e-25,8.59939811059096e-23
ENSG00000183044,498.690254503353,1.13793554017532,0.113269166538963,8.58413742184102e-25,8.59939811059096e-23
ENSG00000164292,14399.5190131877,1.02029824740644,0.102808158559106,8.69584338145387e-25,8.66317391460641e-23
ENSG00000152580,5992.44572049488,-1.13525879887761,0.11396036430395,1.40374593639669e-24,1.38318834563416e-22
ENSG00000013297,3431.54455302823,-1.73910748492947,0.176963537099077,1.48067619643561e-24,1.4510626725069e-22
ENSG00000099194,785.207076440808,-1.95401674590456,0.199324788980091,1.57350456223336e-24,1.53369914952389e-22
ENSG00000164070,591.680867512758,-1.29841055065699,0.130735598410905,1.79608493277646e-24,1.74123674773254e-22
ENSG00000237697,126.795186309546,1.98672633910136,0.200330830355769,2.19211749933727e-24,2.10256716744945e-22
ENSG00000008311,721.941418739337,1.07882444362267,0.108733956687986,3.40880310036446e-24,3.25225066168106e-22
ENSG00000126950,786.108308420399,-1.67624902283088,0.171584734659465,4.85071953294442e-24,4.6035881377923e-22
ENSG00000177614,133.149204675085,-2.51857667568141,0.259351239916572,6.25596810865961e-24,5.87539671538282e-22
ENSG00000088756,685.720868955206,-1.61595572727362,0.166036395335296,6.89007179380863e-24,6.43739764694079e-22
ENSG00000170624,2121.06225268788,-1.11594807586069,0.113947593798614,8.0173464800047e-24,7.45199957357962e-22
ENSG00000128510,164.043523498014,-2.21671134440165,0.227844417281331,9.47482230777914e-24,8.71683652315681e-22
ENSG00000081052,207.134577208693,1.87632874582859,0.193146821591176,1.27233155224091e-23,1.16460317512732e-21
ENSG00000164484,816.787638614199,-1.18399732263696,0.121629818591116,1.45757924891665e-23,1.3274277281043e-21
ENSG00000118689,5165.47547997407,1.23706566905212,0.127588215781868,1.71983654020102e-23,1.55060462464524e-21
ENSG00000127824,228.716782957365,-1.53214540916037,0.157895621407745,1.85958205297414e-23,1.66825788951392e-21
ENSG00000181061,2420.90800173908,1.1773443839977,0.12181523703255,2.31696699621205e-23,2.06829449879682e-21
ENSG00000198431,22734.5766088759,1.47325881404518,0.153283083488852,2.60308095857851e-23,2.31225398251664e-21
ENSG00000132970,1322.81486937849,1.08885074508467,0.112570862482555,3.28846375628355e-23,2.87852322588859e-21
ENSG00000134253,136.92021385672,-1.91927737095544,0.199114675544332,3.26427116534192e-23,2.87852322588859e-21
ENSG00000167992,251.542182012273,-1.49234500220071,0.15497573858479,3.27604446655439e-23,2.87852322588859e-21
ENSG00000179820,3784.34277701728,1.46492823571628,0.153819188550701,4.58396075055234e-23,3.95492728487846e-21
ENSG00000136436,3129.15942131644,1.11568516400882,0.116092924928255,5.33253945579149e-23,4.57887387937296e-21
ENSG00000143891,528.386962569768,-1.09599252325365,0.113896264596343,5.52456775070067e-23,4.72127989007747e-21
ENSG00000106123,2287.85993737051,1.38402395625735,0.144798058451655,6.35414877732862e-23,5.4046231487165e-21
