,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000006468,199.744842384518,-0.191649316184403,0.187849460577715,0.207711667519364,0.437148781993494
ENSG00000006530,309.168864699887,0.00395697339304707,0.116524623490836,0.971950483462602,0.989134928279131
ENSG00000006534,1142.48837260909,0.416871772860647,0.117945108920626,0.000133824457274217,0.00114474507285042
ENSG00000006576,1070.41696178377,-0.408929550754819,0.0968065639403066,9.17339676704917e-06,0.000103643289789117
ENSG00000006606,4.02530892455143,-0.017721517991271,0.296548178004799,0.843550043138357,NA
ENSG00000006607,877.938256158213,0.568621518953348,0.116949576525889,2.52932052620818e-07,3.86187194992259e-06
ENSG00000006625,194.196807747488,-0.130190381919313,0.145666858971803,0.30655736257183,0.555506216651115
ENSG00000006634,85.4645537917258,-0.27054667680456,0.193406441615745,0.0835368628474709,0.233323530183642
ENSG00000006638,65.7528256356143,-0.514756626897398,0.245286266671694,0.00738250425521235,0.0360958017163745
ENSG00000006652,1074.49989068705,-0.0397270760674435,0.0907733563386545,0.645866284868598,0.829981085162974
ENSG00000006695,184.224818152679,0.179137568431598,0.153324098471092,0.175866571465814,0.394136964537852
ENSG00000006704,281.021838361536,-0.187354197531644,0.142404757338515,0.140574431363162,0.339200780630621
ENSG00000006712,1101.20692599821,-0.186173395475676,0.09843575336492,0.0460756725163174,0.151223693422196
ENSG00000006715,2215.87351041739,-0.0575988553443784,0.0834983147176016,0.467060725570319,0.702597731165763
ENSG00000006740,35.5874162556033,-0.0232314443516923,0.223351422046979,0.880595393122897,0.95003566643485
ENSG00000006744,923.843902511884,0.149309274201522,0.102588538159401,0.122318308175894,0.30668016310174
ENSG00000006747,1.9072766477715,-0.00797758929426768,0.303143511140344,0.929326156660891,NA
ENSG00000006756,438.652125660007,-0.00361117269582107,0.120986680275049,0.972973280973124,0.989134928279131
ENSG00000006757,148.006976766001,0.0117081130066212,0.158160694083236,0.929635955911885,0.971441559863416
ENSG00000006788,10.2534484705697,2.59625680576389,1.08283538204763,0.000363514198373233,0.00276460903629951
ENSG00000006831,1093.97929799541,0.226422513100006,0.091398862806968,0.00936421879328055,0.0435981392410108
ENSG00000006837,11.6573093596589,-0.211824199556932,0.341534189478399,0.173318242152805,0.390539841359871
